[2025-03-12 10:26:49] INFO - Log file initialized at: raw_data\USA\07008\search_of_housekeeping\onetime\scrape_onetime.log
[2025-03-12 10:26:49] INFO - Starting scraping for USA/07008, care_type='housekeeping', sub_type='onetime', pay range [0, 100].
[2025-03-12 10:26:49] INFO - Run ID: 9749af8e-6423-483c-a7a9-76c5e8f2e070
[2025-03-12 10:26:49] INFO - Checking pay range [0, 100]...
[2025-03-12 10:26:51] INFO -   => totalHits = 455
[2025-03-12 10:27:07] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTcwLFBhZ2VTY3JvbGxJZD01NTZlZjMwNDYwNWQ0YmEwYWIxNDlkZWIxYTM5OTQ5OA==
[2025-03-12 10:27:10] INFO -   - Page 8 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_8.json
[2025-03-12 10:27:10] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTgwLFBhZ2VTY3JvbGxJZD01NTZlZjMwNDYwNWQ0YmEwYWIxNDlkZWIxYTM5OTQ5OA==
[2025-03-12 10:27:12] INFO -   - Page 9 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_9.json
[2025-03-12 10:27:12] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTkwLFBhZ2VTY3JvbGxJZD01NTZlZjMwNDYwNWQ0YmEwYWIxNDlkZWIxYTM5OTQ5OA==
[2025-03-12 10:27:14] INFO -   - Page 10 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_10.json
[2025-03-12 10:27:14] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEwMCxQYWdlU2Nyb2xsSWQ9NTU2ZWYzMDQ2MDVkNGJhMGFiMTQ5ZGViMWEzOTk0OTg=
[2025-03-12 10:27:16] INFO -   - Page 11 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_11.json
[2025-03-12 10:27:16] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTExMCxQYWdlU2Nyb2xsSWQ9NTU2ZWYzMDQ2MDVkNGJhMGFiMTQ5ZGViMWEzOTk0OTg=
[2025-03-12 10:27:18] INFO -   - Page 12 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_12.json
