[2025-04-03 16:02:26] INFO -   - Page 13 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_13.json
[2025-04-03 16:02:26] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEzMCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
[2025-04-03 16:02:27] INFO -   - Page 14 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_14.json
[2025-04-03 16:02:27] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE0MCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
[2025-04-03 16:02:28] INFO -   - Page 15 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_15.json
[2025-04-03 16:02:28] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE1MCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
[2025-04-03 16:02:30] INFO -   - Page 16 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_16.json
[2025-04-03 16:02:30] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE2MCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
[2025-04-03 16:02:31] INFO -   - Page 17 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_17.json
[2025-04-03 16:02:31] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE3MCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
[2025-04-03 16:02:32] INFO -   - Page 18 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\recurring\range_0_100\page_18.json
[2025-04-03 16:02:32] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE4MCxQYWdlU2Nyb2xsSWQ9ZWFiOTVkY2Y0ZGFhNGQ3YjhhZjNhZGU5ZmQ2NGMyZGI=
