[2025-03-12 10:28:35] INFO - Log file initialized at: raw_data\USA\07008\search_of_housekeeping\recurring\scrape_recurring.log
[2025-03-12 10:28:35] INFO - Starting scraping for USA/07008, care_type='housekeeping', sub_type='recurring', pay range [0, 100].
[2025-03-12 10:28:35] INFO - Run ID: 48d4159e-4236-4c36-aacd-d65ce5f800f4
[2025-03-12 10:28:35] INFO - Checking pay range [0, 100]...
[2025-03-12 10:28:38] INFO -   => totalHits = 455
[2025-03-12 10:29:27] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIyMCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:29] INFO -   - Page 23 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_23.json
[2025-03-12 10:29:29] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIzMCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:31] INFO -   - Page 24 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_24.json
[2025-03-12 10:29:31] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI0MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:33] INFO -   - Page 25 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_25.json
[2025-03-12 10:29:33] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI1MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:36] INFO -   - Page 26 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_26.json
[2025-03-12 10:29:36] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI2MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:38] INFO -   - Page 27 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_27.json
[2025-03-12 10:29:38] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI3MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:40] INFO -   - Page 28 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_28.json
[2025-03-12 10:29:40] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI4MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:43] INFO -   - Page 29 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_29.json
[2025-03-12 10:29:43] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI5MCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:45] INFO -   - Page 30 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_30.json
[2025-03-12 10:29:45] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMwMCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:47] INFO -   - Page 31 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_31.json
[2025-03-12 10:29:47] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMxMCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
[2025-03-12 10:29:49] INFO -   - Page 32 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_32.json
[2025-03-12 10:29:49] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMyMCxQYWdlU2Nyb2xsSWQ9MjU2YTNhNWExOTUwNDMzN2E1NGMwNjI4Y2RlN2QxNzk=
