profile_service_pk,profile_id,service_offered
132,5e4f2b14d76735001e424aa4,Passar
133,5e4f2b14d76735001e424aa4,Faxinar
134,5e5a5b676cc683001ee28955,Faxinar
135,5e5aa5b34acd430059a4e72f,Faxinar
136,5e5aa5b34acd430059a4e72f,Passar
137,5e5aa5b34acd430059a4e72f,Lavar
138,5e5d121129db38001e1781cc,Faxinar
139,5e5d121129db38001e1781cc,Lavar
140,5e5d121129db38001e1781cc,Organizar
141,5e5d121129db38001e1781cc,Cozinhar
142,5e5d121129db38001e1781cc,Passar
143,5e62c19abf8e6f001e2e1206,Lavar
144,5e62c19abf8e6f001e2e1206,Faxinar
145,5e62c19abf8e6f001e2e1206,Passar
146,5e62c19abf8e6f001e2e1206,Cozinhar
147,5e62c19abf8e6f001e2e1206,Organizar
148,5e6646b2a21e63001ebeaf3e,Lavar
149,5e6646b2a21e63001ebeaf3e,Faxinar
150,5e6646b2a21e63001ebeaf3e,Passar
151,5e6646b2a21e63001ebeaf3e,Organizar
152,5e6661c6a21e63001ebeb230,Faxinar
153,5e6661c6a21e63001ebeb230,Organizar
154,5e6661c6a21e63001ebeb230,Cozinhar
155,5e6661c6a21e63001ebeb230,Lavar
156,5e66a0d3a21e63001ebebeda,Passar
157,5e66a0d3a21e63001ebebeda,Faxinar
158,5e68ab7873d0bf001e9eb85e,Faxinar
159,5e68ab7873d0bf001e9eb85e,Passar
160,5e68ab7873d0bf001e9eb85e,Limpeza Residencial
161,5e68f42573d0bf001e9ee38a,Passar
162,5e692f8073d0bf001e9f4d11,Faxinar
163,5e695b5d73d0bf001e9f5745,Faxinar
164,5e6a1933631543001eb7389b,Cozinhar
165,5e6a1933631543001eb7389b,Passar
166,5e6a5f83631543001eb741df,Lavar
167,5e6a5f83631543001eb741df,Passar
168,5e6a5f83631543001eb741df,Organizar
169,5e6a5f83631543001eb741df,Cozinhar
170,5e6be517e72239001e50a50b,Faxinar
171,5e6be517e72239001e50a50b,Cozinhar
172,5e6c135bc16c3912f5bb206b,Cozinhar
173,5e6c135bc16c3912f5bb206b,Faxinar
174,5e6c135bc16c3912f5bb206b,Passar
175,5e6c135bc16c3912f5bb206b,Lavar
176,5e6c1848c16c3912f5bb2163,Cozinhar
177,5e6c1848c16c3912f5bb2163,Faxinar
178,5e6c1848c16c3912f5bb2163,Lavar
179,5e6c1848c16c3912f5bb2163,Passar
180,5e6c1848c16c3912f5bb2163,Organizar
181,5e6c1848c16c3912f5bb2163,Limpeza Residencial
182,5e6c1848c16c3912f5bb2163,Vidros e Fachadas
183,5e6c1848c16c3912f5bb2163,Limpeza Pós-Obra
184,5e6da0c2861730001e3ab5c5,Faxinar
185,5e6da0c2861730001e3ab5c5,Limpeza Residencial
186,5e6da0c2861730001e3ab5c5,Organizar
187,5e6fa183c120ea001e32fb3d,Faxinar
188,5e724d27617ac1001ecf41be,Faxinar
189,5e724d27617ac1001ecf41be,Cozinhar
190,5e724d27617ac1001ecf41be,Lavar
191,5e724d27617ac1001ecf41be,Passar
192,5e735c5d5d99e8001e177325,Faxinar
193,5e735c5d5d99e8001e177325,Passar
194,5e735c5d5d99e8001e177325,Lavar
195,5e735c5d5d99e8001e177325,Organizar
196,5e735c5d5d99e8001e177325,Limpeza Residencial
197,5e735c5d5d99e8001e177325,Cozinhar
198,5e7587a2742f14001e0c0334,Faxinar
199,5e7587a2742f14001e0c0334,Lavar
200,5e7587a2742f14001e0c0334,Passar
201,5e7587a2742f14001e0c0334,Organizar
202,5e77d2ac024072001ee65e37,Passar
203,5e77d2ac024072001ee65e37,Faxinar
204,5e77d2ac024072001ee65e37,Lavar
205,5e77d2ac024072001ee65e37,Cozinhar
206,5e790da5fb6435001e1fdd67,Faxinar
207,5e790da5fb6435001e1fdd67,Cozinhar
208,5e790da5fb6435001e1fdd67,Lavar
209,5e790da5fb6435001e1fdd67,Passar
210,5e7a4e9859abbe001e57bdc8,Lavar
211,5e7a4e9859abbe001e57bdc8,Organizar
212,5e7a4e9859abbe001e57bdc8,Cozinhar
213,5e7a4e9859abbe001e57bdc8,Passar
214,5e7c9875b3bd26001ee01f85,Faxinar
215,5e7c9875b3bd26001ee01f85,Organizar
216,5e7c9875b3bd26001ee01f85,Limpeza Pós-Obra
217,5e7c9875b3bd26001ee01f85,Limpeza Residencial
218,5e7c9875b3bd26001ee01f85,Higienização e Impermeabilização de Estofados
219,5e7c9875b3bd26001ee01f85,Pisos e Pedras Naturais
220,5e7c9875b3bd26001ee01f85,Vidros e Fachadas
221,5e7f571faa79fc001e2efeb6,Passar
222,5e7f571faa79fc001e2efeb6,Lavar
223,5e7f571faa79fc001e2efeb6,Faxinar
224,5e7f571faa79fc001e2efeb6,Organizar
225,5e809816677a2a001ef3c767,Faxinar
226,5e809816677a2a001ef3c767,Lavar
227,5e809816677a2a001ef3c767,Organizar
228,5e809816677a2a001ef3c767,Limpeza Residencial
229,5e85296aba82a5001e9e0346,Faxinar
230,5e85296aba82a5001e9e0346,Passar
231,5e85296aba82a5001e9e0346,Lavar
232,5e85296aba82a5001e9e0346,Cozinhar
233,5e8922fb48e590001ea95908,Faxinar
234,5e8922fb48e590001ea95908,Passar
235,5e8922fb48e590001ea95908,Lavar
236,5e8a129348e590001ea967a4,Faxinar
237,5e8a129348e590001ea967a4,Lavar
238,5e8a129348e590001ea967a4,Cozinhar
239,5e8a129348e590001ea967a4,Organizar
240,5e8ccd0538e8d0019730f4b3,Faxinar
241,5e8ccd0538e8d0019730f4b3,Lavar
242,5e8ccd0538e8d0019730f4b3,Organizar
243,5e8cd92a38e8d0019730f6ac,Faxinar
244,5e8cd92a38e8d0019730f6ac,Lavar
