[2025-04-03 16:01:09] INFO - Log file initialized at: raw_data\USA\30306\search_of_housekeeping\onetime\scrape_onetime.log
[2025-04-03 16:01:09] INFO - Starting scraping for USA/30306, care_type='housekeeping', sub_type='onetime', pay range [0, 100].
[2025-04-03 16:01:09] INFO - Run ID: a377c7a3-da49-4373-b64f-5fe7d526811d
[2025-04-03 16:01:09] INFO - Checking pay range [0, 100]...
[2025-04-03 16:01:11] INFO -   => totalHits = 400
[2025-04-03 16:01:33] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE2MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:35] INFO -   - Page 17 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_17.json
[2025-04-03 16:01:35] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE3MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:36] INFO -   - Page 18 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_18.json
[2025-04-03 16:01:36] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE4MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:38] INFO -   - Page 19 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_19.json
[2025-04-03 16:01:38] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE5MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:39] INFO -   - Page 20 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_20.json
[2025-04-03 16:01:39] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIwMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:40] INFO -   - Page 21 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_21.json
[2025-04-03 16:01:40] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIxMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:41] INFO -   - Page 22 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_22.json
[2025-04-03 16:01:41] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIyMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:43] INFO -   - Page 23 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_23.json
[2025-04-03 16:01:43] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIzMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:44] INFO -   - Page 24 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_24.json
[2025-04-03 16:01:44] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI0MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:45] INFO -   - Page 25 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_25.json
[2025-04-03 16:01:45] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI1MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:47] INFO -   - Page 26 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_26.json
[2025-04-03 16:01:47] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI2MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:48] INFO -   - Page 27 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_27.json
[2025-04-03 16:01:48] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI3MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:49] INFO -   - Page 28 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_28.json
[2025-04-03 16:01:49] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI4MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:51] INFO -   - Page 29 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_29.json
[2025-04-03 16:01:51] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI5MCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:52] INFO -   - Page 30 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_30.json
[2025-04-03 16:01:52] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMwMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:54] INFO -   - Page 31 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_31.json
[2025-04-03 16:01:54] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMxMCxQYWdlU2Nyb2xsSWQ9OGM3OWMwMjBmMWJhNDRjYmI0Yjk5ZjI5MTM3ZWZiMzM=
[2025-04-03 16:01:55] INFO -   - Page 32 => 10 caregivers, saved to raw_data\USA\30306\search_of_housekeeping\onetime\range_0_100\page_32.json
